cl,subclass_id,subclass_id_label
4891,174,174 PAG Pou4f2 Mesi2 Glut
4893,174,174 PAG Pou4f2 Mesi2 Glut
4894,174,174 PAG Pou4f2 Mesi2 Glut
4905,174,174 PAG Pou4f2 Mesi2 Glut
4518,174,174 PAG Pou4f2 Mesi2 Glut
4885,174,174 PAG Pou4f2 Mesi2 Glut
4906,174,174 PAG Pou4f2 Mesi2 Glut
4872,175,175 SC Bnc2 Glut
4881,175,175 SC Bnc2 Glut
4882,175,175 SC Bnc2 Glut
4873,175,175 SC Bnc2 Glut
4874,175,175 SC Bnc2 Glut
4875,175,175 SC Bnc2 Glut
4988,175,175 SC Bnc2 Glut
4996,175,175 SC Bnc2 Glut
4943,176,176 SCig Foxb1 Glut
4945,176,176 SCig Foxb1 Glut
4946,176,176 SCig Foxb1 Glut
4947,176,176 SCig Foxb1 Glut
4948,176,176 SCig Foxb1 Glut
4949,176,176 SCig Foxb1 Glut
4951,176,176 SCig Foxb1 Glut
4953,176,176 SCig Foxb1 Glut
4954,176,176 SCig Foxb1 Glut
4950,176,176 SCig Foxb1 Glut
4921,176,176 SCig Foxb1 Glut
4932,176,176 SCig Foxb1 Glut
4933,176,176 SCig Foxb1 Glut
4934,176,176 SCig Foxb1 Glut
4935,176,176 SCig Foxb1 Glut
4936,176,176 SCig Foxb1 Glut
4938,176,176 SCig Foxb1 Glut
4939,176,176 SCig Foxb1 Glut
4940,176,176 SCig Foxb1 Glut
4941,176,176 SCig Foxb1 Glut
4942,176,176 SCig Foxb1 Glut
4952,176,176 SCig Foxb1 Glut
4928,176,176 SCig Foxb1 Glut
4876,176,176 SCig Foxb1 Glut
4883,176,176 SCig Foxb1 Glut
4896,176,176 SCig Foxb1 Glut
4877,176,176 SCig Foxb1 Glut
4878,176,176 SCig Foxb1 Glut
4879,176,176 SCig Foxb1 Glut
4907,176,176 SCig Foxb1 Glut
4922,177,177 SCig-an-PPT Foxb1 Glut
4923,177,177 SCig-an-PPT Foxb1 Glut
4924,177,177 SCig-an-PPT Foxb1 Glut
4925,177,177 SCig-an-PPT Foxb1 Glut
4930,177,177 SCig-an-PPT Foxb1 Glut
4931,177,177 SCig-an-PPT Foxb1 Glut
4926,177,177 SCig-an-PPT Foxb1 Glut
4927,177,177 SCig-an-PPT Foxb1 Glut
4929,177,177 SCig-an-PPT Foxb1 Glut
4937,177,177 SCig-an-PPT Foxb1 Glut
4944,177,177 SCig-an-PPT Foxb1 Glut
4802,178,178 SCig Foxb1 Otx2 Glut
4806,178,178 SCig Foxb1 Otx2 Glut
4807,178,178 SCig Foxb1 Otx2 Glut
4808,178,178 SCig Foxb1 Otx2 Glut
4660,179,179 SCdg-PAG Tfap2b Glut
4661,179,179 SCdg-PAG Tfap2b Glut
4662,179,179 SCdg-PAG Tfap2b Glut
4663,179,179 SCdg-PAG Tfap2b Glut
4664,179,179 SCdg-PAG Tfap2b Glut
4678,179,179 SCdg-PAG Tfap2b Glut
4677,179,179 SCdg-PAG Tfap2b Glut
4986,180,180 SCiw Pitx2 Glut
4987,180,180 SCiw Pitx2 Glut
5000,180,180 SCiw Pitx2 Glut
5001,180,180 SCiw Pitx2 Glut
5002,180,180 SCiw Pitx2 Glut
5003,180,180 SCiw Pitx2 Glut
5004,180,180 SCiw Pitx2 Glut
5006,180,180 SCiw Pitx2 Glut
4991,180,180 SCiw Pitx2 Glut
5007,180,180 SCiw Pitx2 Glut
4989,180,180 SCiw Pitx2 Glut
4990,180,180 SCiw Pitx2 Glut
4992,180,180 SCiw Pitx2 Glut
4995,180,180 SCiw Pitx2 Glut
4997,180,180 SCiw Pitx2 Glut
4999,180,180 SCiw Pitx2 Glut
4993,180,180 SCiw Pitx2 Glut
4994,180,180 SCiw Pitx2 Glut
4998,180,180 SCiw Pitx2 Glut
4586,181,181 IC Tfap2d Maf Glut
4587,181,181 IC Tfap2d Maf Glut
4588,181,181 IC Tfap2d Maf Glut
4590,181,181 IC Tfap2d Maf Glut
4591,181,181 IC Tfap2d Maf Glut
4592,181,181 IC Tfap2d Maf Glut
4593,181,181 IC Tfap2d Maf Glut
4594,181,181 IC Tfap2d Maf Glut
4595,181,181 IC Tfap2d Maf Glut
4551,181,181 IC Tfap2d Maf Glut
4576,181,181 IC Tfap2d Maf Glut
4577,181,181 IC Tfap2d Maf Glut
4578,181,181 IC Tfap2d Maf Glut
4579,181,181 IC Tfap2d Maf Glut
4580,181,181 IC Tfap2d Maf Glut
4581,181,181 IC Tfap2d Maf Glut
4582,181,181 IC Tfap2d Maf Glut
4583,181,181 IC Tfap2d Maf Glut
4585,181,181 IC Tfap2d Maf Glut
4567,181,181 IC Tfap2d Maf Glut
4584,181,181 IC Tfap2d Maf Glut
4559,181,181 IC Tfap2d Maf Glut
4561,181,181 IC Tfap2d Maf Glut
4562,181,181 IC Tfap2d Maf Glut
4563,181,181 IC Tfap2d Maf Glut
4564,181,181 IC Tfap2d Maf Glut
4566,181,181 IC Tfap2d Maf Glut
4541,181,181 IC Tfap2d Maf Glut
4557,181,181 IC Tfap2d Maf Glut
4558,181,181 IC Tfap2d Maf Glut
4565,181,181 IC Tfap2d Maf Glut
4568,181,181 IC Tfap2d Maf Glut
4596,181,181 IC Tfap2d Maf Glut
4589,181,181 IC Tfap2d Maf Glut
4560,181,181 IC Tfap2d Maf Glut
4569,181,181 IC Tfap2d Maf Glut
4571,181,181 IC Tfap2d Maf Glut
4570,181,181 IC Tfap2d Maf Glut
4983,182,182 CUN-PPN Evx2 Meis2 Glut
