Zeng_cluster,Macosko_cluster,p_value,Macokso_marker_size,Zeng_marker_size
2208,Ex_Lmx1a_Irx6_3,2.668352727575654e-07,5.0,4.0
538,Ex_Lmx1a_Irx6_3,6.669623325249725e-07,5.0,6.0
2239,Ex_Lmx1a_Itih5_2,1.6011123267262136e-07,4.0,4.0
2365,Ex_Lmx1a_Itih5_2,8.00606510234552e-08,4.0,3.0
3921,Ex_Lmx1a_Kcp_1,8.00606510234552e-08,4.0,3.0
2302,Ex_Lmx1a_Mab21l3,2.6688561962901027e-08,4.0,2.0
4816,Ex_Lmx1a_Mab21l3,1.6011123267262136e-07,4.0,4.0
1662,Ex_Lmx1a_Odad2_1,4.44683503322212e-07,5.0,5.0
3232,Ex_Lmx1a_Odad2_1,2.668352727575654e-07,5.0,4.0
2789,Ex_Lmx1a_Pkd1l1,8.00606510234552e-08,3.0,4.0
2543,Ex_Lmx1a_Wnt11,8.00606510234552e-08,3.0,4.0
2572,Ex_Lmx1a_Wnt11,8.00606510234552e-08,3.0,4.0
2724,Ex_Lmx1b_1110032F04Rik_1,4.002277374816599e-07,4.0,6.0
4362,Ex_Lmx1b_1110032F04Rik_1,4.002277374816599e-07,4.0,6.0
4358,Ex_Lmx1b_Aldh1a2_1,8.00606510234552e-08,4.0,3.0
