Study_ID|Celltype_1,Study_ID|Celltype_2,best_AUROC,Mean_AUROC,Match_type
Zeng|2533,Macosko|Ex_Ebf2_Ddit4l_4,0.9983826677288404,0.9983826677288404,Reciprocal_top_hit
Zeng|3799,Macosko|Ex_Ebf2_Dmrt2,0.9949903710637744,0.9949903710637744,Reciprocal_top_hit
Zeng|4911,Macosko|Ex_Ebf2_Fam83f,0.904008126436578,0.904008126436578,Reciprocal_top_hit
Zeng|1662,Macosko|Ex_Ebf2_Fer1l6_1,0.9944689437385508,0.9944689437385508,Reciprocal_top_hit
Zeng|1829,Macosko|Ex_Ebf2_Fer1l6_3,0.9956623718322426,0.9956623718322426,Reciprocal_top_hit
Zeng|1023,Macosko|Ex_Ebf2_Fer1l6_5,0.9908423873276226,0.9908423873276226,Reciprocal_top_hit
Zeng|2353,Macosko|Ex_Ebf2_Fzd9_1,0.9799330622818618,0.9799330622818618,Reciprocal_top_hit
Zeng|1705,Macosko|Ex_Ebf2_Gask1b_2,0.8037902504895524,0.8037902504895524,Reciprocal_top_hit
Zeng|215,Macosko|Ex_Ebf2_Gask1b_3,0.9997523374781352,0.9997523374781352,Reciprocal_top_hit
Zeng|5118,Macosko|Ex_Ebf2_Glp1r_4,0.9797364962854976,0.9797364962854976,Reciprocal_top_hit
Zeng|4566,Macosko|Ex_Ebf2_Lpar1,0.9921096098955432,0.9921096098955432,Reciprocal_top_hit
Zeng|3796,Macosko|Ex_Ebf2_Mgp,0.9950949502800552,0.9950949502800552,Reciprocal_top_hit
Zeng|269,Macosko|Ex_Ebf2_Nat8f6_1,0.9992463261192408,0.9992463261192408,Reciprocal_top_hit
Zeng|1053,Macosko|Ex_Ebf2_Nat8f6_2,0.9968197190919388,0.9968197190919388,Reciprocal_top_hit
Zeng|2215,Macosko|Ex_Ebf2_Nek11_2,0.8084422261655303,0.8084422261655303,Reciprocal_top_hit
Zeng|4965,Macosko|Ex_Ebf2_Niban1_1,0.997614852251432,0.997614852251432,Reciprocal_top_hit
Zeng|2813,Macosko|Ex_Ebf2_Niban1_2,0.9988030075655152,0.9988030075655152,Reciprocal_top_hit
Zeng|1141,Macosko|Ex_Ebf2_Nmu_1,0.9688134709490532,0.9688134709490532,Reciprocal_top_hit
Zeng|3911,Macosko|Ex_Ebf2_Nmu_2,0.994426946252965,0.994426946252965,Reciprocal_top_hit
Zeng|1265,Macosko|Ex_Ebf2_Nmu_3,0.9883093903409336,0.9883093903409336,Reciprocal_top_hit
Zeng|4785,Macosko|Ex_Ebf2_Npff_2,0.8509315978402983,0.8509315978402983,Reciprocal_top_hit
Zeng|4236,Macosko|Ex_Ebf2_Olfr273_2,0.9998824693899968,0.9998824693899968,Reciprocal_top_hit
Zeng|2705,Macosko|Ex_Ebf2_Olfr275,0.9742240827192892,0.9742240827192892,Reciprocal_top_hit
Zeng|2801,Macosko|Ex_Ebf2_Pla2g5_10,0.8944388891939424,0.8944388891939424,Reciprocal_top_hit
Zeng|1193,Macosko|Ex_Ebf2_Pla2g5_4,0.8055292295620226,0.8055292295620226,Reciprocal_top_hit
Zeng|34153,Macosko|Ex_Ebf2_Prokr1_1,0.9714496152522822,0.9714496152522822,Reciprocal_top_hit
Zeng|4221,Macosko|Ex_Ebf2_Prokr1_3,0.997864105715281,0.997864105715281,Reciprocal_top_hit
Zeng|3914,Macosko|Ex_Ebf2_Sec1_2,0.7970029254939013,0.7970029254939013,Reciprocal_top_hit
Zeng|1142,Macosko|Ex_Ebf2_Tac2_1,0.9995931063915472,0.9995931063915472,Reciprocal_top_hit
Zeng|4238,Macosko|Ex_Ebf2_Tac2_2,0.9902492435809636,0.9902492435809636,Reciprocal_top_hit
Zeng|2458,Macosko|Ex_Ebf2_Tnfaip8_1,0.987691667961788,0.987691667961788,Reciprocal_top_hit
Zeng|1039,Macosko|Ex_Ebf2_Tnfaip8_2,0.988876620532684,0.988876620532684,Reciprocal_top_hit
Zeng|314,Macosko|Ex_Ebf2_Ucn3_1,0.9930665188267386,0.9930665188267386,Reciprocal_top_hit
Zeng|1665,Macosko|Ex_Ebf2_Unc5cl,0.9767764857924044,0.9767764857924044,Reciprocal_top_hit
Zeng|1702,Macosko|Ex_Ebf2_Vip,0.9754469136930716,0.9754469136930716,Reciprocal_top_hit
Zeng|2976,Macosko|Ex_Ebf3_Adam33_12,0.7171962825694989,0.7171962825694989,Reciprocal_top_hit
Zeng|24595,Macosko|Ex_Evx1_Cox4i2,0.7024801684182347,0.7024801684182347,Reciprocal_top_hit
Zeng|663,Macosko|Ex_Evx2_Chat,0.8870860552196632,0.8870860552196632,Reciprocal_top_hit
Zeng|4887,Macosko|Ex_Evx2_Clec9a,0.9615956677045728,0.9615956677045728,Reciprocal_top_hit
Zeng|4958,Macosko|Ex_Evx2_Krt19,0.9950400395437716,0.9950400395437716,Reciprocal_top_hit
Zeng|2743,Macosko|Ex_Evx2_Lmcd1_2,0.8925383070077145,0.8925383070077145,Reciprocal_top_hit
Zeng|1660,Macosko|Ex_Evx2_Ngfr,0.981730960784812,0.981730960784812,Reciprocal_top_hit
Zeng|3378,Macosko|Ex_Evx2_Pdyn,0.9909890683458334,0.9909890683458334,Reciprocal_top_hit
Zeng|4500,Macosko|Ex_Evx2_Prdm6_2,0.9858080773043252,0.9858080773043252,Reciprocal_top_hit
Zeng|3722,Macosko|Ex_Fam163a_Adad2,0.9990757119417496,0.9990757119417496,Reciprocal_top_hit
Zeng|3724,Macosko|Ex_Fam163a_Kcne4_2,0.9442501659978964,0.9442501659978964,Reciprocal_top_hit
Zeng|2526,Macosko|Ex_Fam163a_Npy2r,0.9959630894746058,0.9959630894746058,Reciprocal_top_hit
Zeng|2962,Macosko|Ex_Fam163a_Prdm6_2,0.9120811368877222,0.9120811368877222,Reciprocal_top_hit
Zeng|3674,Macosko|Ex_Fam163a_Prdm6_3,0.8319123108795013,0.8319123108795013,Reciprocal_top_hit
Zeng|3108,Macosko|Ex_Fbxl7_Hmga2,0.9602054309231406,0.9602054309231406,Reciprocal_top_hit
Zeng|770,Macosko|Ex_Fbxl7_Tmem72_2,0.9442186050672352,0.9442186050672352,Reciprocal_top_hit
Zeng|2254,Macosko|Ex_Fbxl7_Tmem72_3,0.9601446834182644,0.9601446834182644,Reciprocal_top_hit
Zeng|4475,Macosko|Ex_Fbxo40_Kcnk5_1,0.948717578302928,0.948717578302928,Reciprocal_top_hit
Zeng|14985,Macosko|Ex_Fev_Kif18b,0.9998829756735196,0.9998829756735196,Reciprocal_top_hit
Zeng|3183,Macosko|Ex_Fev_Sln,0.9917157340986524,0.9917157340986524,Reciprocal_top_hit
Zeng|318,Macosko|Ex_Fezf2_C1qtnf7,0.971942864957292,0.971942864957292,Reciprocal_top_hit
