,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches
ENSMUSG00000025940,True,13069.0,0.34851162187442014,0.5190506908441918,0.8116443435302927,2
ENSMUSG00000025779,True,15217.5,0.03539815049740411,0.044132024124506126,0.7586789596118535,2
ENSMUSG00000042686,True,2918.0,0.7236404934657724,2.347955592396627,1.436006676735627,2
ENSMUSG00000025777,True,7774.0,1.261079880032264,4.900586337762699,0.94588971482728,2
ENSMUSG00000067780,True,5768.5,0.007836197462046193,0.017295670479261345,1.302829259935287,2
ENSMUSG00000025776,True,1178.5,0.15882021312450062,0.6441608229240399,2.458494529786033,2
ENSMUSG00000025774,True,2644.0,0.00033880566211359824,0.0007976111061277644,1.8041498385855608,2
ENSMUSG00000073735,True,2179.0,8.40209640589084e-06,2.0709324405235664e-05,1.8118889577373625,2
ENSMUSG00000067773,True,9406.5,0.00015455123811399207,0.00016565127391571504,0.8997651649065037,2
ENSMUSG00000042596,True,543.0,0.07203566938437012,0.489264471553241,3.9601320727609073,2
ENSMUSG00000025927,True,389.0,0.13165422367469354,1.5542880024797754,5.553790134940202,2
ENSMUSG00000043760,True,6424.5,0.015851797433266052,0.027298606166621064,1.0826529014367428,2
ENSMUSG00000025929,True,6972.5,4.6152360539400385e-06,4.851894099703299e-06,0.9730064635649529,2
ENSMUSG00000041872,True,10977.5,0.00037762098072109397,0.0004106134597873274,0.8681036869169185,2
ENSMUSG00000041859,True,15324.0,0.008205653025133392,0.01011080236589303,0.7787011057053987,2
ENSMUSG00000025931,True,1653.0,0.9789613872784213,5.484149290993524,2.0481710743610018,2
ENSMUSG00000041809,True,5898.0,0.021438718185639468,0.03618263810679386,1.0102818490857168,2
ENSMUSG00000041779,True,16714.0,0.025092565067727998,0.03087716329992305,0.7469682002729341,2
ENSMUSG00000025933,True,9969.5,0.4255371898088014,0.7722114109098492,0.8799743799327203,2
ENSMUSG00000025934,True,11971.0,0.05515136080826747,0.08006879769932489,0.8711614173006799,2
ENSMUSG00000067750,True,10042.0,9.419815125477618e-05,9.726611350944854e-05,0.8951430418791815,2
ENSMUSG00000041722,True,11717.0,0.0001421256025841535,0.00014328881371393845,0.8579365600932705,2
