Macosko_cluster,gene
Ex_Slc30a3_Smpdl3b,Naa11
Inh_Six3_Vmn1r209,Car8
Ex_Lhx9_Nps,Clec1a
Inh_Dmbx1_Slc34a2_2,Gpc3
Ex_Phox2b_Cyp26b1_3,Bmp4
Inh_Lhx1_Ikzf1,Nr2f2
Ex_Plcg2_Traf1_1,C1ql2
Ex_Dmrta2_Lcp1_3,Prox1
Inh_Otx1_Cd36_1,Erbb4
Ex_Nxph4_Lman1l,Ccn2
Inh_Foxp2_Lbhd2_3,Rgma
Ex_Lmx1a_Crh,Crh
Ex_Tfap2b_Ramp3_5,Tfap2b
Inh_Nkx2-2_Oxtr_2,Nkx2-2
Ex_Vcan_Crh,Nkx2-2
Ex_Dmrta2_Rxfp2_2,Nfib
Fibro_Eya2_Rbp4_2,Tmeff2
Inh_Pax2_Vgll3_12,Kcnt2
Chol_Irx4_Crispld2,Spry1
Ex_Rorb_Fn1_Inhbb,Fn1
Inh_Irx4_Lrat,Lrat
Ex_Lhx9_Pi4k2b,Prok1
Inh_Gata3_Tecrl_3,Olfr48
Ex_Fezf2_Sebox,Nts
Inh_Six3_Chodl_2,Dpp4
Ex_Foxb1_Nat8f6_1,Shoc1
Inh_Prox1_Dcn_3,Ush2a
Inh_Ppp1r1b_Drd2_Fos,Frem2
Ex_Pitx2_Odad2_2,Cdh23
Inh_Onecut3_Bmp4,Fign
Inh_Foxp4_Bnc2,Bnc2
Inh_Pax2_Vgll3_18,Adam33
Inh_Pax7_Hpse_3,Xirp2
Ex_Samd3_Emx2_2,Spaar
Inh_Frmd7_Olfr142_9,A830018L16Rik
Ex_Sim1_Trh_10,Trh
Ex_Nxph4_Twist1_4,6330411D24Rik
Ex_Foxb1_Arhgef38_4,Dgkk
Ex_Ebf2_Npff_2,Sulf1
Inh_Lhx1_Corin,Gata3
Ex_Nkx2-4_Cd44_3,Rwdd3
Ex_Ebf2_Tac2_1,Tcf7l1
Ex_Lmx1b_Unc5cl_1,Moxd1
Inh_Pax8_Qrfpr_2,Prex2
Ex_Lmx1b_Morc1_1,Cdh23
Ex_Sall1_Lrrc38_3,Gpc3
Inh_Skor2_Emx1_2,1110032F04Rik
Inh_Sox6_Chrna2,Tspan18
Ex_Sim1_Nkx2-2_2,Nkx2-2
Inh_Six3_Sox2_9,Ttn
Ex_Lmx1b_Tmem100_2,Hs3st2
Ex_Fezf2_Pvalb_Pirt,A830018L16Rik
Ex_Pou4f2_Ramp3,Tfap2d
Ex_Sim1_Slc10a6_1,Slc10a6
Inh_Pax2_Tfap2b_Tcim_2,Prkcq
Ex_Ebf3_Adam33_11,Gad2
Inh_Tfap2b_Cyp26b1_1,Ror1
Ex_Onecut2_Hmx3_Adamtsl3_1,Arhgap29
Ex_Irx2_Twist1_7,Htr5b
Inh_Gata3_Rln3_3,Tafa4
Inh_Sidt1_Drd1_Pax6_1,Pcdh7
Inh_Pax2_Cdh3_1,Erbb4
Inh_Pax3_Galr1,Pax3
Ex_Ebf2_Slc38a11,Sulf1
Inh_Six3_Krt18,Col19a1
Ex_Hoxc6_Met_1,Hpse
Inh_Pax7_Arhgap28_4,Pax7
Ex_Dmrta2_Csf2rb2_4,Htr2a
Ex_Evx1_Cox4i2,Oprk1
Inh_Tfap2b_Il7_1,Frem1
Ex_Dmrta2_Lrrc31_9130008F23Rik,Kcnh1
Ex_Lmx1a_Samd3,Rcn1
Ex_Onecut3_Erfl_2,Erfl
Inh_Pax2_Olfr372_2,Smpdl3b
Ex_Ebf2_Abcc9_4,Galnt3
Inh_Fbxl7_Lrrc63,Sphkap
Ex_Sox6_Erfl,Tfap2b
Inh_Onecut3_Npb_2,Mrpl44
Ex_Hoxc6_Slc7a13_1,Iqcj
Inh_Nkx2-2_Catsper4,Creg2
Inh_Lhx1_Fgf5,Pax6
Inh_Foxd3_Slc16a12_2,En1
Inh_Gata3_Wnt16,Wnt16
Ex_Ebf2_Gpsm3_2,Tfap2b
Ex_Foxb1_Nat8f6_2,Eya1
Ex_Sox6_Twist1,Htr5b
Ex_Lmx1b_Cd36_2,Kcnmb2
Ex_Phox2b_Mdfic2_1,Pgr15l
Inh_Gata3_Dhrs3_Sox14_5,4930469K13Rik
Inh_Onecut3_Npb_1,Eya1
Ex_Lmx1a_Odad2_1,C1ql3
Ex_Pou4f3_Wfdc10_2,Wfdc10
Ex_Nkx2-4_Spp1_2,Gulp1
Ex_Pax6_Vgll3_1,Pax6
Ex_Fezf2_Cnksr3_Areg,Satb2
Inh_Frmd7_Stk33_2,Fn1
Inh_Pax3_Calcrl,Pax3
Ex_Phox2b_Chodl,Tfap2b
Fibro_Eya2_Meox2,Cdh19
Inh_Pax7_Qrfpr_3,Qrfpr
Inh_Pax2_Irx4_2,Pax8
Inh_Hoxc4_Fbln2_2,Gulp1
Inh_Gata3_Qrfprl_2,Penk
Ex_Lhx9_Acp7,Rprml
Ex_Pax2_Mafb_2,Clrn1
Inh_Pax2_Tgm6_1,Kcng1
Ex_Lamc3_Fzd9_2,Myot
Inh_Hoxa5_Galr1_2,A830018L16Rik
Ex_Plekhg1_Fign_Ppp1r3a_3,Cox5b
Inh_Lhx6_Esr2_7,Ttpa
Ex_Hmx2_Vip_2,Plcl1
Inh_Lamp5_Ndnf_Tac2_Htr2c,Itga8
Ex_Pax6_Tmc1,Cdh7
Ex_Slc30a3_Best3_4,Baz1a
Inh_Onecut3_Crabp1_2,En1
Ex_Lmx1a_Cckar_3,Ngfr
Ex_Phox2b_Bmp3_4,Gpr101
Ex_Ebf3_Adam33_7,Grem2
Inh_Ppp1r1b_Drd2_Wwtr1,Ier5
Inh_Sp8_Draxin,Pax6
Inh_Lhx8_Arhgef38_5,Chn2
Inh_Tfap2b_Dcn_2,Cdh23
Ex_Tfap2d_Bnip5_1,Cfap77
Inh_Lhx8_Arhgef38_8,Lhx8
Ex_Vsx2_Hmga2_1,Stat1
Inh_Onecut1_Sncg_1,Pgr15l
Ex_Evx2_Prdm6_2,Vcan
Inh_Gata3_Cd200r1_4,Nxph2
Inh_Pax2_Satb2_2,Pax8
Inh_Lhx6_Iqca_5,Iqca
Inh_Gbx1_Htr1a_1,Sertm1
Inh_Pax2_Chrna2_2,Rgs4
Ex_Sim1_Ucn3_3,Penk
Inh_Fbxl7_Cyp26b1_6,C1ql2
Ex_Dmrta2_Tnfaip8l3_1,Pitx2
Chol_Tbx20_S100a11_7,Lama2
Inh_Gbx1_Olfr920,Syndig1
Inh_Gata3_Qrfprl_1,Qrfprl
Ex_Tfap2b_Ramp3_1,Tfap2b
Ex_Foxb1_Shoc1,Dnah14
Inh_Hoxb5_Dmrt3_1,Tpbg
Ex_C1ql4_Cpne7_4,Meis1
Inh_Hoxc4_F5_2,Insrr
Ex_Nxph4_Zar1l_1,Zar1l
Inh_Six3_Casr,Scn5a
Ex_Fezf2_Cdc25c_3,Syt10
Ex_Phox2b_Hgf,Adgrg2
Ex_Phox2b_Alkal2_2,Ntsr1
