Zeng_cl,gene
1407,Dsp
1363,Slc17a6
1371,Draxin
1371,Eomes
1371,Adamts18
1372,Mfap4
1406,Draxin
1406,Ntf3
1406,Fam163a
1408,Rarb
1408,Draxin
1339,Tbr1
1258,Reln
1258,4930523C07Rik
1290,Reln
1290,Ccdc141
1290,Gxylt2
1289,Mdfic
1289,Colq
1289,Chst9
1289,Cbln2
1282,Sp8
1282,Chrna2
1286,Prokr2
1286,Otop1
1287,Otop1
1314,Scgn
1285,4930523C07Rik
1285,Hmcn1
1288,Lmcd1
1288,Tll1
1284,Cdh23
1284,Otogl
1284,Gpc3
1283,Otogl
1283,Cdh23
1283,Glp1r
1299,Slc12a8
1299,Cpa6
1299,Trdn
1322,Trdn
1322,Slc12a8
1322,Cartpt
1321,Tmem132c
1321,Lama2
1321,Trdn
1304,Lgr6
1304,Moxd1
1304,Lrrc38
1305,Lgr6
1305,Tpbg
1305,Trdn
1306,Cpa6
1306,Met
1306,Akr1c18
1307,Tpbg
1307,Lamp5
1307,Lgr6
1307,Lrrc38
1307,Tafa2
1307,Cpa6
1328,Nr2f1
1328,Lgr6
1328,Cort
1334,Igfbp6
1334,Atp8b1
1334,Lgr6
1334,Rgs12
1334,Gcnt1
1334,Fam184b
1302,Kcnh8
1302,St3gal1
1302,Gcnt1
1310,Zar1
1310,Npy
1310,Lgr6
1335,Lgr6
1335,Pde1a
1335,Scgn
1335,Atp8b1
1309,Tmem200a
1309,Scgn
1309,Crhbp
1327,Lama3
1327,Trdn
1318,Cpa6
1318,Ctxn3
1318,Tns1
1318,Dnah11
1319,Sulf1
1319,Dnah11
1319,Rgs6
1319,Trdn
1331,Rbm20
1331,Ankfn1
1331,Lgr6
1331,Fam126a
1331,Adamts19
1332,Pld5
1332,Stard8
1332,Npffr2
1332,Dnah11
1332,Syne2
1336,Tnfaip6
1336,Acan
1336,Dnah11
1333,Nr2f1
1333,Ccn4
1333,Grik3
1333,Lgr6
1333,Tacr1
1333,Adamts19
1333,Cdh13
1316,Nfatc1
1316,Rhcg
1316,Ror1
1316,Trdn
1323,Trdn
1323,Ephb1
1323,Nupr1
1324,Col23a1
1324,Trdn
1325,Angptl1
1325,Trdn
1326,Syt10
1326,Angptl1
1326,Lama3
1326,Rhcg
1337,Mgam
1337,Nwd2
1315,Cobll1
1315,Frmd7
1315,Abca8a
1317,Cpa6
1317,Fst
1317,Frmd7
1317,Crabp1
1338,Trdn
1338,Scube1
1338,Igfbpl1
1320,Adamts19
1320,Cpa6
1320,Frmd7
1320,Tnc
1313,Tcerg1l
1313,Egfem1
1313,Scgn
1301,Cpa6
1301,Scgn
1303,Trhr
1303,Rhcg
1308,Tacr1
1308,Frmd7
1308,Fn1
1311,Rhcg
1312,Klhl1
1329,Scgn
1329,Igf1
1329,Abi3bp
1330,Lgr6
1330,Kcnb2
1330,Ndnf
1300,Scgn
1300,Rgs8
1300,Abi3bp
1383,Crispld2
1383,Plpp4
1384,Aox3
1384,Cdca7l
1384,Tcerg1l
1384,Adamtsl1
1390,Aox3
1390,Pde5a
1385,Nppa
1385,Lyzl4
1385,Igfbpl1
1386,Nppa
1386,Pdzd2
1386,Adora2a
1386,Oprk1
1387,Aox3
1387,Trpm3
1388,Aox3
1388,Ccbe1
1388,Plpp4
1388,Grem1
1379,Aldh1a3
1379,Kcnk13
1379,Cyp1b1
1380,Dlx1
1380,Mctp2
1381,Lgr6
1381,Cyp1b1
1381,Nccrp1
1382,Cd24a
1382,Aldh1a3
1382,Tgfbi
1374,Gpnmb
1374,Vip
1375,Vip
1375,C130074G19Rik
1376,Vip
1395,Nppa
1395,Kit
1395,Trh
1395,Gal
1396,Gal
1396,Gpr174
1397,Cd24a
1397,Col6a1
1397,Scgn
1397,Trh
1377,Trh
1393,Ppp1r1c
1393,Trh
1393,Th
1391,Syndig1l
1391,Nfatc1
1394,Ppp1r1c
1394,Lrrc38
1392,Lamp5
1392,Syndig1l
1392,Nfatc1
1392,Plekha2
1373,Fstl5
1373,Kank1
1373,Frmd7
