Study_ID|Celltype_1,Study_ID|Celltype_2,cell_count_celltype_1,cell_count_celltype_2
Zeng|2787,Macosko|Ex_Lmx1b_Itih5_2,64,24
Zeng|2159,Macosko|Inh_Pax2_Chrna6_3,35,54
Zeng|3550,Macosko|Inh_Pax7_Egflam_7,267,656
Macosko|Ser_Fev_Wfdc12,Zeng|2847,103,135
Zeng|1408,Macosko|NG_Draxin_2,511,463
Zeng|3920,Macosko|Ex_Phox2b_Dpy19l2,42,17
Macosko|Ex_Ebf2_Npff_2,Zeng|4332,88,64
Zeng|4220,Macosko|Ex_Phox2b_Slc39a12_6,96,98
Zeng|3851,Macosko|Inh_Bhlhe22_Cdh23_1,96,57
Zeng|4222,Macosko|Ex_Ebf2_Abcc9_1,41,109
Macosko|Ex_Pou4f1_Fads2b_1,Zeng|2885,55,51
Zeng|3895,Macosko|Chol_Tbx20_S100a11_4,60,95
Zeng|1290,Macosko|Inh_Etv4_1,217,810
Zeng|3827,Macosko|Ex_Lhx2_Frk,11,153
Zeng|3924,Macosko|Ex_Phox2b_Slc39a12_5,153,60
Zeng|24557,Macosko|Ex_Pax6_Avpr1a_3,14,60
Macosko|Ex_Ebf2_Fer1l6_5,Zeng|4333,173,169
Zeng|767,Macosko|Inh_Lhx6_Sst_Chodl_1,2542,622
Zeng|1419,Macosko|Inh_Otx2_Prdm16_5,167,397
Zeng|294,Macosko|Ex_Abi3bp_Calcrl,297,221
Zeng|3976,Macosko|Inh_Foxp2_Tmem233_3,203,43
Zeng|3009,Macosko|Inh_Pax7_Vmn1r207_3,567,488
Zeng|3471,Macosko|Inh_Otx2_Ntrk1_2,30,111
Macosko|Chol_Tbx20_S100a11_3,Zeng|3895,81,60
Zeng|4238,Macosko|Ex_Ebf2_Tac2_2,164,94
Zeng|3613,Macosko|Inh_Otx2_Tnnt1_2,948,435
Zeng|4146,Macosko|Inh_Tfap2a_Chrdl2_2,69,225
Zeng|1380,Macosko|Inh_Creb5_Ror1_2,105,673
Zeng|3833,Macosko|Ex_Lhx9_Dnah5,42,48
Zeng|2397,Macosko|DopEx_Calb1_Npw_2,177,114
Zeng|2869,Macosko|Ex_Sln_Niban1,95,4458
Zeng|14878,Macosko|Ependymal_Tmem212_Lgi1,301,112
Zeng|4101,Macosko|Inh_Pax8_Hhip,32,25
Zeng|3014,Macosko|Inh_Pax7_Vmn1r207_4,911,251
Macosko|Ependymal_Tmem212_Cuzd1,Zeng|14878,293,301
Zeng|2997,Macosko|Inh_Sox6_Postn_2,128,81
Macosko|Inh_Etv4_2,Zeng|1290,679,217
Zeng|4916,Macosko|Ex_Ebf2_Nek11_2,476,1828
Macosko|Ex_Pou4f1_Fads2b_3,Zeng|2885,34,51
Zeng|14881,Macosko|Ependymal_Tmem212_Cuzd1,85,293
Zeng|8176,Macosko|Ex_Ebf2_Krt17_1,58,158
Zeng|3955,Macosko|Ex_Phox2b_Dkk2_2,43,187
Macosko|Ex_Ebf2_Adgrd1_2,Zeng|4339,92,26
Zeng|4049,Macosko|Ex_Irx1_Padi1_1,61,126
Zeng|4237,Macosko|Ex_Ebf2_Olfr273_1,149,829
Zeng|1225,Macosko|Inh_Lhx6_Esr2_12,110,81
Zeng|3960,Macosko|Ex_Phox2b_Olfr560,84,89
Zeng|4229,Macosko|Ex_Ebf2_Grp_1,83,160
Zeng|4206,Macosko|Inh_Pax2_Olfr920_2,45,24
Macosko|Inh_Six3_Pnliprp2_2,Zeng|3325,62,215
Zeng|8173,Macosko|Ex_Ebf2_Cox8b_1,114,268
Macosko|Chol_Ecel1_Crabp2_2,Zeng|586,23,129
Zeng|1378,Macosko|Inh_Frmd7_Slc17a8,71,137
Zeng|3707,Macosko|Inh_Foxd3_Gm525_2,35,27
Zeng|3905,Macosko|Ex_Phox2b_Pdyn_5,30,49
Zeng|2762,Macosko|Ng_Lhx1_Mab21l3_2,2498,887
Zeng|2930,Macosko|Inh_Pax7_Rxfp3_2,105,26
Zeng|4331,Macosko|Ex_Ebf2_Crhr2_2,30,43
Zeng|1406,Macosko|NG_Draxin_1,408,648
Zeng|3556,Macosko|Inh_Otx2_Pla2g5,322,128
Zeng|1258,Macosko|Inh_Aqp9_4930523C07Rik,246,37
Zeng|672,Macosko|Inh_Htr3a_Ibsp_6,211,536
Zeng|1427,Macosko|Inh_Six6_Vipr2_6,381,272
Zeng|2428,Macosko|Ex_Nkx2-4_Grpr_5,80,82
Zeng|2694,Macosko|Ex_Iqcj_Ms4a15_6,198,92
Zeng|3240,Macosko|Inh_Gata3_Chrna5,127,50
Zeng|4233,Macosko|Ex_Ebf2_Abcc9_4,45,67
Zeng|1431,Macosko|Inh_Six6_Vipr2_3,821,36
Zeng|4920,Macosko|Ex_Ebf2_Nek11_2,450,1828
Macosko|Inh_Tfap2a_Scrg1_2,Zeng|4146,275,69
Zeng|2730,Macosko|Ex_Samd3_Emx2_4,60,36
Zeng|4388,Macosko|Inh_Hoxc4_F5_2,87,54
Zeng|3008,Macosko|Inh_Pax7_Vmn1r207_3,180,488
Zeng|4048,Macosko|Ex_Irx1_Padi1_1,55,126
Zeng|2815,Macosko|Ex_Lmx1b_Arsj_2,41,32
Zeng|4438,Macosko|Inh_Pax8_Krt19,74,37
Macosko|Ex_Ebf2_Gask1b_2,Zeng|4330,158,379
Macosko|Inh_Sp8_Spp1_3,Zeng|949,56,44
Macosko|Ex_Ebf2_Grp_2,Zeng|4229,29,83
Zeng|3592,Macosko|Inh_Otx2_Tnnt1_1,311,641
Zeng|2261,Macosko|Ex_Slc12a7_Sp110,49,468
Macosko|Ependymal_Tmem212_1700012P22Rik,Zeng|14878,192,301
Macosko|Ex_Ebf2_6430628N08Rik_6,Zeng|4225,36,37
Zeng|2637,Macosko|Ex_Lhx9_Chrm1_2,18,60
Zeng|3873,Macosko|Ex_Phox2b_Npb,84,43
Macosko|Ex_Onecut2_Hmx3_Adamtsl3_1,Zeng|3847,21,37
Zeng|4353,Macosko|Inh_Hoxc4_Esm1,199,64
Zeng|4874,Macosko|Ex_Sox6_Prom1,314,622
Zeng|8789,Macosko|Inh_Gata3_Crybb1,22,263
Zeng|2873,Macosko|Ex_Iqcj_Ms4a15_2,156,1791
Zeng|4626,Macosko|Ex_Ebf2_Clec9a_2,94,61
Zeng|1343,Macosko|Inh_Vwc2l_Otogl1_1,89,66
Zeng|3311,Macosko|Inh_Six3_Ikzf1_1,29,216
Zeng|2999,Macosko|Inh_Pax3_Vmn1r207_1,49,480
Zeng|1282,Macosko|Inh_Lmo2_Chrna2_2,19,65
Zeng|4236,Macosko|Ex_Ebf2_Olfr273_1,180,829
Zeng|3946,Macosko|Ex_Phox2b_Dkk2_2,120,187
Zeng|1356,Macosko|Inh_Cobll1_Heg1,52,229
Macosko|Ng_Lhx1_Mab21l3_1,Zeng|2762,1451,2498
Zeng|3024,Macosko|Ex_Vsx2_Tnnt1_5,148,73
Zeng|4354,Macosko|Inh_Hoxc4_Esm1,89,64
Macosko|Chol_Tbx20_S100a11_1,Zeng|3893,475,29
Macosko|Ependymal_Tmem212_Sbpl,Zeng|14878,107,301
Zeng|2990,Macosko|Inh_Pax3_Vmn1r207_2,345,138
Macosko|Ex_Ebf2_Ddit4l_4,Zeng|4337,78,22
Zeng|3985,Macosko|Inh_Fbxl7_Cyp26b1_3,65,34
Macosko|Inh_Hoxc4_Chrdl2_4,Zeng|4386,56,52
Zeng|2395,Macosko|DopEx_Calb1_Lpl_2,124,26
Zeng|4986,Macosko|Ex_Sall3_Efemp1_2,56,40
Macosko|Ependymal_Tmem212_Ttr,Zeng|14878,16,301
Macosko|Ex_Ebf2_Abcc9_2,Zeng|4222,76,41
Macosko|Ex_Ebf2_Slco1a5,Zeng|4328,50,52
Zeng|836,Macosko|Inh_Gbx1_Atp8b1_6,185,26
Zeng|8163,Macosko|Ex_Ebf2_Tnfaip8_5,39,84
Zeng|4013,Macosko|Inh_Fbxl7_C7,304,266
Zeng|2693,Macosko|Ex_Iqcj_Ms4a15_3,66,276
Macosko|Inh_Vip_Trim55_4,Zeng|1374,77,210
Zeng|4303,Macosko|Ex_Phox2b_Bmp3_2,40,31
Zeng|3938,Macosko|Ex_Phox2a_Cyp26b1_2,42,30
Zeng|3892,Macosko|Chol_Tbx20_S100a11_4,98,95
Macosko|Inh_Tfap2b_Acsm2,Zeng|34308,141,45
Zeng|1372,Macosko|NG_Draxin_7,107,32
Macosko|NorEx_Phox2b_Pmnt_3,Zeng|3934,54,53
Macosko|NG_Draxin_3,Zeng|1406,349,408
Zeng|3111,Macosko|Ex_Vsx2_Tspo2_1,152,230
Zeng|3030,Macosko|Ex_Nkx6-1_Pax8_2,67,29
Zeng|2255,Macosko|Ex_Slc12a7_Sp110,42,468
Zeng|1430,Macosko|Inh_Six6_Vipr2_4,503,67
Zeng|3964,Macosko|Ex_Pou4f2_Olfr560_1,101,133
Zeng|4370,Macosko|Inh_Hoxc4_Hhip,50,56
Zeng|1299,Macosko|Inh_Plpp4_Fn1,996,2475
Macosko|NG_Draxin_4,Zeng|1408,415,511
Macosko|Inh_Lhx6_Esr2_13,Zeng|1225,46,110
Macosko|Ser_Fev_Samd9l,Zeng|2852,59,40
Zeng|4380,Macosko|Inh_Hoxc4_Chrdl2_3,33,31
