set,cluster_id
Songpeng et al.,491
Songpeng et al.,578
Songpeng et al.,584
Songpeng et al.,948
Songpeng et al.,1285
Songpeng et al.,292
Songpeng et al.,947
Songpeng et al.,2584
Songpeng et al.,422
Songpeng et al.,2674
Songpeng et al.,4755
Songpeng et al.,2997
Songpeng et al.,4117
Songpeng et al.,328
Songpeng et al.,2210
Songpeng et al.,5026
Songpeng et al.,1716
Songpeng et al.,113
Songpeng et al.,1821
Songpeng et al.,21
Songpeng et al.,118
Songpeng et al.,941
Songpeng et al.,519
Songpeng et al.,339
Songpeng et al.,5138
Songpeng et al.,1789
Songpeng et al.,2882
Songpeng et al.,3235
Songpeng et al.,2073
Songpeng et al.,4825
Songpeng et al.,3200
Songpeng et al.,704
Songpeng et al.,224
Songpeng et al.,423
Songpeng et al.,375
Songpeng et al.,4947
Songpeng et al.,639
Songpeng et al.,1372
Songpeng et al.,144
Songpeng et al.,697
Songpeng et al.,1690
Songpeng et al.,1007
Songpeng et al.,1010
Songpeng et al.,463
Songpeng et al.,19
Songpeng et al.,5053
Songpeng et al.,2892
Songpeng et al.,2535
Songpeng et al.,478
Songpeng et al.,2387
Songpeng et al.,3535
Songpeng et al.,3141
Songpeng et al.,4870
Songpeng et al.,3508
Songpeng et al.,3607
Songpeng et al.,4453
Songpeng et al.,4183
Songpeng et al.,204
Songpeng et al.,4563
Songpeng et al.,4588
Songpeng et al.,3138
Songpeng et al.,2583
Songpeng et al.,403
Songpeng et al.,579
Songpeng et al.,574
Songpeng et al.,770
Songpeng et al.,114
Songpeng et al.,91
Songpeng et al.,929
Songpeng et al.,11
Songpeng et al.,2889
Songpeng et al.,2560
Songpeng et al.,2425
Songpeng et al.,3517
Songpeng et al.,3672
Songpeng et al.,720
Songpeng et al.,154
Songpeng et al.,58
Songpeng et al.,2762
Songpeng et al.,146
Songpeng et al.,236
Songpeng et al.,876
Songpeng et al.,8797
Songpeng et al.,2581
Songpeng et al.,3522
Songpeng et al.,2694
Songpeng et al.,1004
Songpeng et al.,389
Songpeng et al.,281
Songpeng et al.,2592
Songpeng et al.,904
Songpeng et al.,1814
Songpeng et al.,3417
Songpeng et al.,3585
Songpeng et al.,2501
Songpeng et al.,3392
Songpeng et al.,3445
Songpeng et al.,4934
Songpeng et al.,2173
Songpeng et al.,3608
Songpeng et al.,109
Songpeng et al.,205
Songpeng et al.,237
Songpeng et al.,391
Songpeng et al.,1403
Songpeng et al.,1401
Songpeng et al.,190
Songpeng et al.,1284
Songpeng et al.,2659
