Study_ID|Celltype_1,Study_ID|Celltype_2
Macosko|Inh_Nkx2-2_Ecel1_1,Zeng|3400
Macosko|Inh_Nkx2-2_Gata2_1,Zeng|3387
Macosko|Inh_Nkx2-2_Gata2_4,Zeng|3175
Macosko|Inh_Nkx2-2_Trh_2,Zeng|3409
Macosko|Inh_Nkx6-1_Cox8b,Zeng|3740
Macosko|Inh_Nkx6-1_Ikzf1,Zeng|3744
Macosko|Inh_Onecut3_Crabp1_1,Zeng|34363
Macosko|Inh_Otx1_Ppp1r3a,Zeng|3407
Macosko|Inh_Otx1_Sox14_3,Zeng|3123
Macosko|Inh_Otx2_Bmp4_2,Zeng|3473
Macosko|Inh_Otx2_Bmp4_3,Zeng|3469
Macosko|Inh_Otx2_Ntrk1_1,Zeng|3470
Macosko|Inh_Otx2_Ntrk1_2,Zeng|3471
Macosko|Inh_Otx2_Pcp2,Zeng|3474
Macosko|Inh_Otx2_Prdm16_4,Zeng|1596
Macosko|Inh_Otx2_Prdm16_5,Zeng|1419
Macosko|Inh_Otx2_Samsn1_1,Zeng|3576
Macosko|Inh_Otx2_Tnnt1_1,Zeng|3592
Macosko|Inh_Otx2_Tnnt1_2,Zeng|3613
Macosko|Inh_Pax2_Antxr2_2,Zeng|4033
Macosko|Inh_Pax2_Cd40,Zeng|34200
Macosko|Inh_Pax2_Chrdl2_1,Zeng|4414
Macosko|Inh_Pax2_Chrna6_3,Zeng|2159
Macosko|Inh_Pax2_Fst_1,Zeng|3992
Macosko|Inh_Pax2_Glp1r_2,Zeng|4451
Macosko|Inh_Pax2_Glp1r_3,Zeng|4459
Macosko|Inh_Pax2_Gpr83,Zeng|34179
Macosko|Inh_Pax2_Hmcn1,Zeng|34198
Macosko|Inh_Pax2_Htr3a,Zeng|4469
Macosko|Inh_Pax2_Igfbp4,Zeng|4410
Macosko|Inh_Pax2_Igfbpl1_2,Zeng|34342
Macosko|Inh_Pax2_Kirrel2_1,Zeng|4208
Macosko|Inh_Pax2_Lama4_2,Zeng|4198
Macosko|Inh_Pax2_Nkx6-1_1,Zeng|24715
Macosko|Inh_Pax2_Olfr372_1,Zeng|4457
Macosko|Inh_Pax2_Pdyn,Zeng|4212
Macosko|Inh_Pax2_Postn_2,Zeng|4433
Macosko|Inh_Pax2_Sgo2b_5,Zeng|4139
Macosko|Inh_Pax2_Sgo2b_6,Zeng|4140
Macosko|Inh_Pax2_Tfap2c_1,Zeng|4429
Macosko|Inh_Pax2_Tfap2c_2,Zeng|4430
Macosko|Inh_Pax2_Tnc,Zeng|4143
Macosko|Inh_Pax2_Tnfaip8l3_2,Zeng|4446
Macosko|Inh_Pax2_Tnfaip8l3_4,Zeng|4400
Macosko|Inh_Pax2_Tnnt2,Zeng|24741
Macosko|Inh_Pax3_Galnt15,Zeng|3411
Macosko|Inh_Pax3_Vmn1r207_12,Zeng|2929
Macosko|Inh_Pax3_Vmn1r207_2,Zeng|2985
Macosko|Inh_Pax3_Vmn1r207_3,Zeng|2989
Macosko|Inh_Pax3_Vmn1r207_5,Zeng|2986
Macosko|Inh_Pax3_Vmn1r207_7,Zeng|2984
Macosko|Inh_Pax5_Asb4_5,Zeng|3117
Macosko|Inh_Pax5_Cmtm8_1,Zeng|3142
Macosko|Inh_Pax5_Gdf10_1,Zeng|3727
Macosko|Inh_Pax5_Gdf10_2,Zeng|3857
Macosko|Inh_Pax5_Olig3_2,Zeng|3862
Macosko|Inh_Pax5_Pgr15l_2,Zeng|3358
Macosko|Inh_Pax5_Slc12a7_2,Zeng|3140
Macosko|Inh_Pax5_Sox21_3,Zeng|3450
Macosko|Inh_Pax6_Adra2a,Zeng|1277
Macosko|Inh_Pax6_Eya4_4,Zeng|989
Macosko|Inh_Pax6_Pdgfd_1,Zeng|1745
Macosko|Inh_Pax7_Egflam_7,Zeng|3550
Macosko|Inh_Pax7_Erfl_3,Zeng|2915
Macosko|Inh_Pax7_P2ry10b_3,Zeng|3001
Macosko|Inh_Pax7_Qrfpr_1,Zeng|3264
Macosko|Inh_Pax7_Qrfpr_3,Zeng|3265
Macosko|Inh_Pax7_Samd3,Zeng|3518
Macosko|Inh_Pax7_Slc38a11,Zeng|2923
Macosko|Inh_Pax7_Slc9a3,Zeng|3566
Macosko|Inh_Pax7_Vmn1r207_4,Zeng|3014
Macosko|Inh_Pax7_Vmn1r207_5,Zeng|3012
Macosko|Inh_Pax7_Vmn1r207_6,Zeng|3010
Macosko|Inh_Pax7_Vmn1r207_7,Zeng|3007
Macosko|Inh_Pax8_Asb4_1,Zeng|4437
Macosko|Inh_Pax8_Hhip,Zeng|4101
Macosko|Inh_Pax8_Krt19,Zeng|4438
Macosko|Inh_Pax8_Qrfpr_2,Zeng|24742
Macosko|Inh_Pax8_Sfrp1_4,Zeng|34330
Macosko|Inh_Pax8_Sfrp1_5,Zeng|34328
Macosko|Inh_Pde11a_Atp2c2_1,Zeng|1820
Macosko|Inh_Pde11a_Pgm5_3,Zeng|1835
Macosko|Inh_Pde11a_Pgm5_6,Zeng|1836
Macosko|Inh_Plpp4_Aox3_5,Zeng|1390
Macosko|Inh_Plpp4_Cartpt,Zeng|1322
Macosko|Inh_Plpp4_Fbln5,Zeng|1387
Macosko|Inh_Plpp4_Fn1,Zeng|1299
Macosko|Inh_Plpp4_Pdgfd,Zeng|1321
Macosko|Inh_Plpp4_Ret,Zeng|1383
Macosko|Inh_Pou6f2_Pi15_2,Zeng|4017
Macosko|Inh_Ppp1r1b_Drd1_Adamtsl5,Zeng|1273
Macosko|Inh_Ppp1r1b_Drd1_Ccn1,Zeng|1263
Macosko|Inh_Ppp1r1b_Drd1_Shisa8_3,Zeng|1255
Macosko|Inh_Ppp1r1b_Drd1_Tacr1_2,Zeng|1268
Macosko|Inh_Ppp1r1b_Drd2_Atf3,Zeng|1078
