target_study,region,region_name,target_celltype,target_size,ref_celltype,AUROC,is_recip
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocytes_10,379,Macosko|Oligo_Opalin_Synpr,0.972475545,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocytes_2,3252,Macosko|Oligo_Opalin_Synpr,0.982109759,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocytes_3,4000,Macosko|Oligo_Klk6_1,0.986513743,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocytes_4,5456,Macosko|Oligo_Opalin_Synpr,0.977729676,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocytes_5,2522,Macosko|Oligo_Klk6_1,0.99254536,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocytes_6,849,Macosko|Oligo_Opalin_Synpr,0.982541236,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocytes_7,139,Macosko|Oligo_Klk6_1,0.969980783,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocytes_8,229,Macosko|Oligo_Opalin_Synpr,0.971085768,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocytes_9,514,Macosko|Oligo_Opalin_Synpr,0.974377639,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Pituitary cells_1,412,Macosko|Pit_Six1_Pomc_4,0.999068578,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Pituitary cells_2,410,Macosko|Pit_Pou1f1_Epcam,0.999277112,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Pituitary cells_3,283,Macosko|Pit_Pou1f1_Epcam,0.999547519,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Pituitary cells_4,92,Macosko|Pit_Six1_Gnrhr,0.99568839,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Pituitary cells_5,78,Macosko|Pit_Six1_Pomc_1,0.999982401,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Pituitary cells_6,43,Macosko|Pit_Six1_Pomc_4,0.999950709,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Purkinje neurons_1,551,Macosko|Inh_Nrk_Kctd16,0.954455815,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Purkinje neurons_10,77,Macosko|Inh_Nrk_Drd3,0.998802683,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Purkinje neurons_11,25,Macosko|Inh_Tfap2a_Nxf7,0.999952877,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Purkinje neurons_12,15,Macosko|Inh_Nrk_Drd3,0.997326585,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Purkinje neurons_2,661,Macosko|Inh_Nrk_Kctd16,0.937002142,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Purkinje neurons_3,318,Macosko|Inh_Nrk_Kctd16,0.996496791,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Purkinje neurons_4,282,Macosko|Inh_Nrk_Kctd16,0.99950447,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Purkinje neurons_5,242,Macosko|Inh_Nrk_Drd3,0.977807004,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Purkinje neurons_6,10,Macosko|Inh_Nrk_Drd3,0.999073928,FALSE
