cell_type,dendro_order,cell_type_short,study,study_type
Macosko|Ex_Plekhg1_Fign_C6,2617,Ex_Plekhg1_Fign_C6,Macosko,Nuclei
Zeng|5064,2618,5064,Zeng,Cells
Zeng|5052,2619,5052,Zeng,Cells
Zeng|5053,2620,5053,Zeng,Cells
Zeng|5029,2621,5029,Zeng,Cells
Zeng|5026,2622,5026,Zeng,Cells
Zeng|5025,2623,5025,Zeng,Cells
Zeng|5027,2624,5027,Zeng,Cells
Macosko|Ex_Plekhg1_Col27a1_Calca,2625,Ex_Plekhg1_Col27a1_Calca,Macosko,Nuclei
Zeng|5104,2626,5104,Zeng,Cells
Zeng|5037,2627,5037,Zeng,Cells
Macosko|Ex_Plekhg1_Col27a1_Egflam_2,2628,Ex_Plekhg1_Col27a1_Egflam_2,Macosko,Nuclei
Macosko|Ex_Plekhg1_Col27a1_Egflam_3,2629,Ex_Plekhg1_Col27a1_Egflam_3,Macosko,Nuclei
Zeng|5096,2630,5096,Zeng,Cells
Macosko|Ex_Plekhg1_Epha1_Smoc2_2,2631,Ex_Plekhg1_Epha1_Smoc2_2,Macosko,Nuclei
Zeng|5100,2632,5100,Zeng,Cells
Zeng|5101,2633,5101,Zeng,Cells
Zeng|5092,2634,5092,Zeng,Cells
Zeng|5097,2635,5097,Zeng,Cells
Macosko|Ex_Tcf7l2_Fbln1_St14,2636,Ex_Tcf7l2_Fbln1_St14,Macosko,Nuclei
Zeng|5098,2637,5098,Zeng,Cells
Zeng|5103,2638,5103,Zeng,Cells
Macosko|Ex_Plekhg1_Epha1_Slc17a8_3,2639,Ex_Plekhg1_Epha1_Slc17a8_3,Macosko,Nuclei
Zeng|5099,2640,5099,Zeng,Cells
Macosko|Ex_Plekhg1_Epha1_Slc17a8_2,2641,Ex_Plekhg1_Epha1_Slc17a8_2,Macosko,Nuclei
Zeng|5102,2642,5102,Zeng,Cells
Macosko|Ex_Plekhg1_Pth2r_Frem3_3,2643,Ex_Plekhg1_Pth2r_Frem3_3,Macosko,Nuclei
Macosko|Ex_Plekhg1_Pth2r_Frem3_4,2644,Ex_Plekhg1_Pth2r_Frem3_4,Macosko,Nuclei
