,Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
270,Zeng|4206,Macosko|Inh_Pax2_Olfr920_2,1.0,Above_0.999
271,Macosko|Inh_Six3_Pnliprp2_2,Zeng|3325,1.0,Above_0.999
272,Zeng|8173,Macosko|Ex_Ebf2_Cox8b_1,1.0,Reciprocal_top_hit
273,Macosko|Chol_Ecel1_Crabp2_2,Zeng|586,1.0,Above_0.999
274,Zeng|1378,Macosko|Inh_Frmd7_Slc17a8,1.0,Reciprocal_top_hit
275,Zeng|3707,Macosko|Inh_Foxd3_Gm525_2,1.0,Reciprocal_top_hit
276,Zeng|3905,Macosko|Ex_Phox2b_Pdyn_5,1.0,Reciprocal_top_hit
277,Zeng|2762,Macosko|Ng_Lhx1_Mab21l3_2,1.0,Reciprocal_top_hit
278,Zeng|2930,Macosko|Inh_Pax7_Rxfp3_2,1.0,Reciprocal_top_hit
279,Zeng|4331,Macosko|Ex_Ebf2_Crhr2_2,1.0,Reciprocal_top_hit
280,Zeng|1406,Macosko|NG_Draxin_1,1.0,Reciprocal_top_hit
281,Zeng|3556,Macosko|Inh_Otx2_Pla2g5,1.0,Reciprocal_top_hit
282,Zeng|1258,Macosko|Inh_Aqp9_4930523C07Rik,1.0,Reciprocal_top_hit
283,Zeng|672,Macosko|Inh_Htr3a_Ibsp_6,1.0,Reciprocal_top_hit
284,Zeng|1427,Macosko|Inh_Six6_Vipr2_6,1.0,Reciprocal_top_hit
285,Zeng|2428,Macosko|Ex_Nkx2-4_Grpr_5,1.0,Reciprocal_top_hit
286,Zeng|2694,Macosko|Ex_Iqcj_Ms4a15_6,1.0,Reciprocal_top_hit
287,Zeng|3240,Macosko|Inh_Gata3_Chrna5,1.0,Reciprocal_top_hit
288,Zeng|4233,Macosko|Ex_Ebf2_Abcc9_4,1.0,Reciprocal_top_hit
289,Zeng|1431,Macosko|Inh_Six6_Vipr2_3,1.0,Reciprocal_top_hit
290,Zeng|4920,Macosko|Ex_Ebf2_Nek11_2,1.0,Above_0.999
291,Macosko|Inh_Tfap2a_Scrg1_2,Zeng|4146,1.0,Above_0.999
