...1,Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
232,Zeng|5249,Macosko|Endo_Flt1_Acta2_Olfr558_3,1,Reciprocal_top_hit
3459,Zeng|2462,Macosko|Ex_Sim1_Cartpt,1,Reciprocal_top_hit
766,Zeng|4743,Macosko|Ex_Ebf2_Antxr2,1,Reciprocal_top_hit
4040,Zeng|4470,Macosko|Ex_Tfap2b_Saa1,1,Reciprocal_top_hit
7813,Zeng|4437,Macosko|Inh_Pax8_Asb4_1,1,Reciprocal_top_hit
7956,Zeng|3845,Macosko|Inh_Pou6f2_Gldn_2,1,Reciprocal_top_hit
7766,Zeng|3265,Macosko|Inh_Pax7_Qrfpr_3,1,Reciprocal_top_hit
5237,Zeng|2961,Macosko|Inh_Foxp2_Sox2_4,1,Reciprocal_top_hit
1119,Zeng|4962,Macosko|Ex_Evx2_Ngfr,1,Reciprocal_top_hit
1155,Zeng|3108,Macosko|Ex_Fbxl7_Hmga2,1,Reciprocal_top_hit
4082,Zeng|4591,Macosko|Ex_Tfap2d_Casq2,1,Reciprocal_top_hit
2200,Zeng|2783,Macosko|Ex_Lmx1b_Drd1_3,1,Reciprocal_top_hit
4743,Zeng|2976,Macosko|Inh_Ebf2_Stc1_2,1,Reciprocal_top_hit
3268,Zeng|4865,Macosko|Ex_Prox1_Ltbp1,1,Reciprocal_top_hit
4067,Zeng|4561,Macosko|Ex_Tfap2d_Atp6ap1l_1,1,Reciprocal_top_hit
6281,Zeng|579,Macosko|Inh_Lhx6_Crhbp_1,1,Reciprocal_top_hit
6589,Zeng|761,Macosko|Inh_Lhx6_Tent5a_Arhgap28,1,Reciprocal_top_hit
6674,Zeng|883,Macosko|Inh_Nkx2-1_Asb,1,Reciprocal_top_hit
6263,Zeng|727,Macosko|Inh_Lhx6_Car8_8,1,Reciprocal_top_hit
7974,Zeng|1263,Macosko|Inh_Ppp1r1b_Drd1_Ccn1,1,Reciprocal_top_hit
2461,Zeng|4474,Macosko|Ex_Nxph4_Arhgap36,1,Reciprocal_top_hit
7400,Zeng|4140,Macosko|Inh_Pax2_Sgo2b_6,1,Reciprocal_top_hit
3267,Zeng|4712,Macosko|Ex_Prox1_Cmbl,1,Reciprocal_top_hit
