,Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
2607,Macosko|Ex_Pax2_Erfl_2,Zeng|24598,1.0,Reciprocal_top_hit
7557,Macosko|Inh_Pax5_Il20ra,Zeng|3354,1.0,Reciprocal_top_hit
2570,Macosko|Ex_Onecut3_Spag16_2,Zeng|1605,1.0,Above_0.99
2536,Macosko|Ex_Onecut2_Hmx3_Adamtsl3_3,Zeng|3848,1.0,Above_0.99
2609,Macosko|Ex_Pax2_Erfl_4,Zeng|24595,1.0,Above_0.99
831,Macosko|Ex_Ebf2_Ddit4l_1,Zeng|4336,1.0,Reciprocal_top_hit
833,Macosko|Ex_Ebf2_Ddit4l_3,Zeng|4337,1.0,Reciprocal_top_hit
161,Macosko|Chol_Tbx20_S100a11_2,Zeng|3894,1.0,Above_0.99
295,Macosko|ExInh_Lmx1b_Nmu_2,Zeng|2417,1.0,Reciprocal_top_hit
8500,Macosko|Inh_Sox6_Chrna5_1,Zeng|2996,1.0,Above_0.99
2543,Macosko|Ex_Onecut2_Hmx3_Trim6_3,Zeng|3848,1.0,Above_0.99
923,Macosko|Ex_Ebf2_Mafa_2,Zeng|4329,1.0,Above_0.99
6120,Macosko|Inh_Isl1_Drd1_Folh1_1,Zeng|1194,1.0,Reciprocal_top_hit
6695,Zeng|3478,Macosko|Inh_Nkx2-2_Bcam_3,1.0,Above_0.99
812,Macosko|Ex_Ebf2_C1qtnf7_2,Zeng|4335,1.0,Above_0.99
2854,Macosko|Ex_Phox2b_Olfr560_1,Zeng|3970,1.0,Reciprocal_top_hit
6826,Macosko|Inh_Nrk_Drd3,Zeng|9391,1.0,Above_0.99
8842,Macosko|Inh_Vwc2l_Colq,Zeng|1289,1.0,Reciprocal_top_hit
7512,Macosko|Inh_Pax3_Vmn1r207_4,Zeng|2988,1.0,Reciprocal_top_hit
1759,Macosko|Ex_Lhx3_Slc5a7_4,Zeng|3786,1.0,Above_0.99
764,Macosko|Ex_Ebf2_Adgrd1_2,Zeng|4339,1.0,Above_0.99
6830,Macosko|Inh_Nrk_Kcnmb1_1,Zeng|9391,1.0,Above_0.99
7216,Macosko|Inh_Pax2_Has2_3,Zeng|4201,1.0,Above_0.99
6820,Macosko|Inh_Nkx2-2_Ush2a,Zeng|3326,1.0,Above_0.99
8980,Macosko|SerEx_Fev_Crhr2_4,Zeng|2850,1.0,Above_0.99
7837,Macosko|Inh_Pax8_Npffr2,Zeng|3438,1.0,Above_0.99
954,Macosko|Ex_Ebf2_Npff_1,Zeng|4233,1.0,Above_0.99
5996,Zeng|4391,Macosko|Inh_Hoxc4_Abcc9_1,1.0,Above_0.99
5245,Macosko|Inh_Foxp2_Tmem233_3,Zeng|3977,1.0,Reciprocal_top_hit
5898,Macosko|Inh_Gbx1_Atp8b1_5,Zeng|836,1.0,Above_0.99
946,Zeng|4920,Macosko|Ex_Ebf2_Nek11_2,1.0,Above_0.99
3619,Macosko|Ex_Skor1_Frem1_3,Zeng|2715,1.0,Above_0.99
5347,Macosko|Inh_Frmd7_Zim1,Zeng|1284,1.0,Reciprocal_top_hit
7432,Macosko|Inh_Pax2_Tmem215_1,Zeng|4209,1.0,Above_0.99
4645,Macosko|Inh_Creb5_Ror1_2,Zeng|1379,1.0,Reciprocal_top_hit
7671,Macosko|Inh_Pax6_Eya4_1,Zeng|994,1.0,Reciprocal_top_hit
4740,Macosko|Inh_Ebf2_Cox8b_2,Zeng|3740,1.0,Above_0.99
7079,Macosko|Inh_Pax2_Agtr1b_1,Zeng|4419,1.0,Above_0.99
6832,Macosko|Inh_Nrk_Kcnmb1_2,Zeng|9391,1.0,Above_0.99
992,Macosko|Ex_Ebf2_Prokr1_3,Zeng|4246,1.0,Above_0.99
7343,Macosko|Inh_Pax2_Olfr920_5,Zeng|4214,1.0,Above_0.99
8925,Zeng|3973,Macosko|NorEx_Phox2b_Ppara_1,1.0,Above_0.99
117,Macosko|Chol_Ecel1_S100a11,Zeng|588,1.0,Above_0.99
765,Macosko|Ex_Ebf2_Adgrd1_3,Zeng|4344,1.0,Above_0.99
810,Macosko|Ex_Ebf2_C1qtnf7_1,Zeng|4335,1.0,Reciprocal_top_hit
93,Zeng|568,Macosko|CholInh_Ecel1_Nid1,1.0,Above_0.99
5417,Macosko|Inh_Gata3_Frmd7_2,Zeng|34139,1.0,Above_0.99
6937,Macosko|Inh_Onecut3_Uts2b_2,Zeng|34363,1.0,Above_0.99
758,Macosko|Ex_Ebf2_Abcc9_1,Zeng|4233,1.0,Above_0.99
1336,Zeng|41,Macosko|Ex_Fezf2_Tmem255b_1,1.0,Above_0.99
6122,Macosko|Inh_Isl1_Drd1_Folh1_2,Zeng|1194,1.0,Above_0.99
1671,Macosko|Ex_Lamc3_Fzd9_1,Zeng|8175,1.0,Above_0.99
2390,Zeng|2441,Macosko|Ex_Nkx2-4_Calcr_9,1.0,Above_0.99
551,Macosko|Ex_Crym_Cxcl12,Zeng|466,1.0,Above_0.99
3141,Macosko|Ex_Pou4f1_Fads2b_2,Zeng|2885,1.0,Reciprocal_top_hit
2196,Macosko|Ex_Lmx1b_Drd1_1,Zeng|2774,1.0,Above_0.99
8930,Zeng|3891,Macosko|NorEx_Phox2b_Tmem45a2_2,1.0,Above_0.99
115,Macosko|Chol_Ecel1_Insrr,Zeng|586,1.0,Above_0.99
6827,Macosko|Inh_Nrk_Gpr176_1,Zeng|9392,1.0,Above_0.99
8921,Macosko|NorEx_Phox2b_Pmnt_1,Zeng|3934,1.0,Reciprocal_top_hit
6828,Macosko|Inh_Nrk_Gpr176_2,Zeng|9392,1.0,Above_0.99
7751,Macosko|Inh_Pax7_P2ry10b_1,Zeng|3004,1.0,Above_0.99
7859,Macosko|Inh_Pax8_Pkhd1l1_7,Zeng|4029,1.0,Above_0.99
28,Macosko|CholEx_Hmx3_Grpr,Zeng|3646,1.0,Above_0.99
2382,Zeng|2431,Macosko|Ex_Nkx2-4_Calcr_5,1.0,Above_0.99
7544,Macosko|Inh_Pax5_Clic5_2,Zeng|3372,1.0,Above_0.99
6833,Macosko|Inh_Nrk_Kcnmb1_3,Zeng|9391,1.0,Above_0.99
7325,Zeng|4102,Macosko|Inh_Pax2_Npsr1_3,1.0,Above_0.99
7139,Macosko|Inh_Pax2_Ctsc,Zeng|4198,1.0,Above_0.99
6694,Zeng|3476,Macosko|Inh_Nkx2-2_Bcam_3,1.0,Above_0.99
846,Macosko|Ex_Ebf2_Fer1l6_3,Zeng|4333,1.0,Above_0.99
4822,Macosko|Inh_Etv4_2,Zeng|1290,1.0,Above_0.99
2204,Macosko|Ex_Lmx1b_Dynap_4,Zeng|4245,1.0,Reciprocal_top_hit
8910,Zeng|3972,Macosko|NorEx_Phox2b_Gch1,1.0,Above_0.99
6836,Macosko|Inh_Nrk_Tox2,Zeng|9392,1.0,Above_0.99
8928,Macosko|NorEx_Phox2b_Rrad,Zeng|3781,1.0,Above_0.99
851,Macosko|Ex_Ebf2_Fzd9_2,Zeng|8175,1.0,Above_0.99
2627,Macosko|Ex_Pax5_Ggta1_2,Zeng|4283,1.0,Reciprocal_top_hit
